ProductID,CAtomCount,TotalAtomCount,HAtomCount,Class,Predicted
387,27,51,19,low,low
388,23,47,18,low,low
389,16,42,18,low,low
390,24,54,24,low,low
391,15,33,10,low,low
392,57,119,62,low,low
393,26,53,19,low,low
394,41,87,41,low,low
395,37,109,52,high,high
396,22,50,22,low,low
397,26,64,30,low,low
398,14,35,11,low,low
399,22,45,20,low,low
400,39,81,31,low,low
401,25,65,31,low,low
402,16,35,16,low,low
403,20,44,15,low,low
404,27,51,17,low,low
405,24,53,24,low,low
406,25,49,18,low,low
407,19,37,16,low,low
408,45,97,45,low,low
409,20,47,25,low,low
410,42,87,34,low,low
411,22,47,18,low,low
412,19,36,14,low,low
413,13,35,14,low,low
414,9,21,7,low,low
415,23,48,22,low,low
416,55,102,42,low,low
417,19,44,22,low,low
418,28,68,34,low,low
419,26,50,21,low,low
420,30,52,19,low,low
421,55,119,59,low,low
422,40,103,49,high,high
423,27,56,25,low,low
424,24,38,14,low,low
425,25,55,24,low,low
426,57,94,24,low,low
427,24,54,24,low,low
428,18,48,25,low,low
429,27,54,23,high,low
430,27,51,19,low,low
431,28,61,25,high,low
432,10,18,5,low,low
433,45,116,47,high,high
434,36,90,50,low,high
435,28,66,32,low,low
436,18,33,11,low,low
437,32,68,24,low,low
438,39,97,43,high,high
439,62,120,54,low,low
440,76,160,81,low,low
441,1,9,5,low,low
442,17,35,15,low,low
443,36,72,30,low,low
444,15,36,13,low,low
445,19,37,14,low,low
446,26,51,20,low,low
447,17,31,13,low,low
448,27,54,22,high,high
449,32,63,25,low,low
450,18,37,15,low,low
451,42,84,40,low,low
452,29,72,34,low,low
453,25,49,21,low,low
454,48,110,42,low,low
455,37,75,32,low,low
456,15,33,11,high,high
457,39,74,31,low,low
458,23,41,15,low,low
459,28,65,35,high,low
460,21,45,18,low,low
461,25,51,23,low,low
462,23,48,19,low,low
463,36,78,32,low,low
464,29,66,29,low,low
465,54,142,74,high,low
466,16,28,10,low,low
467,34,60,22,low,low
468,27,49,17,low,low
469,62,112,46,low,low
470,14,32,16,low,low
471,22,52,17,low,low
472,26,45,16,low,low
473,53,99,39,low,low
474,13,26,9,low,low
475,17,41,13,low,low
476,18,38,14,low,low
477,17,29,10,low,low
478,72,126,54,low,low
479,73,164,82,low,low
480,24,38,14,low,low
481,23,47,17,low,low
482,21,42,18,low,low
483,17,39,19,low,low
484,13,30,7,low,low
485,33,74,32,low,low
486,43,117,54,high,high
487,33,70,35,high,high
488,12,27,12,low,low
489,37,78,36,low,low
490,28,56,21,low,low
491,16,42,13,low,low
492,19,34,11,low,low
493,30,50,13,low,low
494,33,74,32,low,low
495,29,78,42,low,low
496,62,146,80,low,low
497,43,120,53,high,high
498,12,27,12,low,low
499,17,35,13,low,low
500,12,24,9,low,low
501,39,74,32,low,low
502,22,50,22,low,low
503,30,65,32,low,low
504,68,141,60,high,high
505,20,44,16,low,low
506,9,25,11,low,low
507,16,35,16,low,low
508,27,51,21,low,low
